constructorId,name,nationality,url
90,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor)
91,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One)
92,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell
93,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29
94,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership
95,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
96,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis
97,Gilby,British,http://en.wikipedia.org/wiki/Gilby
98,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro
99,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
100,ENB,Belgian,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge
101,JBW,British,http://en.wikipedia.org/wiki/JBW
102,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.
103,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors
104,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
105,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
106,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
107,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
108,Epperly,American,http://en.wikipedia.org/wiki/Epperly
109,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
110,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
111,Trevis,American,http://en.wikipedia.org/wiki/Trevis
112,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski
113,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
114,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
115,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
116,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
117,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
118,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
119,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
120,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
121,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor)
122,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
123,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team)
124,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec
125,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
126,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
127,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
128,Gordini,French,http://en.wikipedia.org/wiki/Gordini
129,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
130,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti
131,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
132,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
133,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
134,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
135,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
136,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
137,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
138,Nichels,American,http://en.wikipedia.org/wiki/Nichels
139,Bromme,American,http://en.wikipedia.org/wiki/Bromme
140,Klenk,German,http://en.wikipedia.org/wiki/Klenk
141,Simca,French,http://en.wikipedia.org/wiki/Simca
142,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor)
143,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy
144,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
145,BMW,German,http://en.wikipedia.org/wiki/BMW
146,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
147,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
148,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash
149,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor)
150,Deidt,American,http://en.wikipedia.org/wiki/Deidt
151,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
152,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
153,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia
154,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
155,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
156,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
157,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
158,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
159,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
